"Wavelength, µm","n"
0.005500726,0.99324618
0.005520837,0.99319911
0.005540797,0.99316296
0.005560778,0.9931336
0.005580749,0.99310198
0.005600769,0.99307875
0.00562078,0.99305164
0.005640721,0.99302177
0.005660781,0.99299483
0.005680782,0.99295847
0.005700793,0.99291605
0.005720753,0.99286378
0.005740804,0.99278808
0.005760785,0.99270126
0.005780825,0.99260239
0.005800756,0.99248185
0.005820827,0.9923423
0.005840787,0.99218423
0.005860748,0.99201446
0.005880769,0.99183678
0.005900809,0.99165623
0.00592081,0.99148034
0.005940731,0.99133756
0.005960861,0.99125497
0.005980762,0.99124576
0.006000793,0.99134836
0.006020813,0.99157916
0.006040764,0.99188613
0.006060785,0.99229966
0.006080755,0.99279074
0.006100806,0.99332251
0.006120777,0.99388736
0.006140837,0.99443554
0.006160828,0.99495554
0.006180849,0.99546574
0.006200729,0.9959717
0.0062208,0.99646933
0.006240801,0.99695657
0.006260781,0.99748062
0.006280802,0.99804352
0.006300813,0.99861164
0.006320794,0.99912564
0.006340804,0.99955249
0.006360805,0.99984286
0.006380745,0.99997854
0.006400836,1.0000374
0.006420827,1.0000193
0.006440837,1.0002118
0.006460808,1.0006724
0.006480769,1.0013139
0.006500819,1.0022234
0.00652078,1.0030489
0.006540841,1.0036289
0.006560772,1.003799
0.006580832,1.0032114
0.006600803,1.0021082
0.006620824,1.0010091
0.006640784,1.0001693
0.006660835,0.99954376
0.006680796,0.99904493
0.006700836,0.99863159
0.006720887,0.99828225
0.006740758,0.99797858
0.006760828,0.99769412
0.006780839,0.9974318
0.00680081,0.99720552
0.006890233,0.99631262
0.006930244,0.99595456
0.006970225,0.9956339
0.007010227,0.99533408
0.007050248,0.99505798
0.007090239,0.99480313
0.007130241,0.99455774
0.007170242,0.99431902
0.007210224,0.99409434
0.007250245,0.99388331
0.007290226,0.99367559
0.007330228,0.99347241
0.007370229,0.99327794
0.00741027,0.9930798
0.007450252,0.99288423
0.007490273,0.99269728
0.007530255,0.99251978
0.007570256,0.99234038
0.007610267,0.99215871
0.007650278,0.99198522
0.00769028,0.99181877
0.007730261,0.99164945
0.007770282,0.991478
0.007810274,0.99131685
0.007850285,0.99115683
0.007890247,0.99098799
0.007930268,0.99081889
0.007970289,0.99065626
0.008010251,0.99050011
0.008050292,0.99034048
0.008090273,0.99017687
0.008130275,0.99002199
0.008170296,0.98986346
0.008210277,0.98970117
0.008250269,0.98954462
0.00829026,0.98939422
0.008330251,0.98924269
0.008370292,0.98907959
0.008410274,0.98891528
0.008564279,0.98832598
0.008636282,0.9880625
0.008708284,0.98778818
0.008780316,0.98750635
0.008852279,0.98722696
0.008924282,0.98694665
0.008996294,0.98666614
0.009068276,0.98638701
0.009140279,0.98610675
0.009212331,0.98582862
0.009284283,0.98554283
0.009356306,0.98524486
0.009428308,0.98495798
0.009500341,0.98468224
0.009572293,0.98439482
0.009644295,0.98409688
0.009716328,0.98379702
0.00978835,0.98350885
0.009860363,0.98322134
0.009932326,0.9829211
0.010004338,0.98262267
0.01007634,0.98232666
0.010148342,0.98201569
0.010220346,0.98170562
0.010292347,0.98140745
0.01036435,0.98110379
0.010436352,0.9808018
0.010508355,0.98048966
0.010580358,0.98016323
0.01065236,0.97984852
0.010724362,0.97954748
0.010796365,0.97923157
0.010868367,0.97890475
0.010940369,0.97857556
0.011012372,0.97826164
0.011198378,0.97742265
0.01122498,0.97729554
0.01125048,0.97716876
0.011275881,0.97704434
0.011300982,0.97692883
0.011326283,0.97681009
0.011351383,0.97669178
0.011376285,0.97656911
0.011401385,0.9764481
0.011426486,0.9763321
0.011451187,0.97621722
0.011476288,0.97609814
0.011501489,0.97597979
0.011526289,0.97585963
0.01155149,0.97573657
0.011576491,0.97561719
0.011601491,0.97549957
0.011626193,0.97538265
0.011651494,0.97525998
0.011676395,0.97514174
0.011701395,0.97502223
0.011726296,0.97490277
0.011751497,0.97477815
0.011776298,0.97465843
0.011801399,0.97453979
0.011826399,0.97441441
0.0118515,0.97429314
0.011876401,0.97417352
0.011901301,0.9740544
0.011926503,0.97393264
0.011951204,0.97381276
0.011976504,0.9736945
0.012001505,0.97356715
0.012026607,0.97344294
0.012051307,0.97332068
0.012076507,0.9731956
0.012101409,0.97308172
0.01212641,0.97296024
0.012151511,0.97283226
0.012176611,0.9727095
0.012201412,0.97259181
0.012226313,0.97247088
0.012251414,0.9723487
0.012276315,0.97222758
0.012301316,0.97210582
0.012326316,0.97197429
0.012351518,0.97184733
0.012376418,0.9717281
0.012401619,0.97160099
0.01242652,0.9714786
0.012451421,0.97135521
0.012476321,0.97123733
0.012498722,0.97112892
0.012550424,0.97085411
0.012601226,0.97059125
0.012651727,0.97034277
0.012701729,0.97008592
0.012751931,0.96982339
0.012801932,0.96955944
0.012851934,0.96930118
0.012902036,0.96905464
0.012951937,0.96878472
0.013001939,0.96851473
0.013052041,0.96826162
0.013101942,0.96800024
0.013152044,0.96774063
0.013201946,0.96748477
0.013251848,0.96722108
0.013301949,0.96694878
0.013352051,0.96668501
